spam	Win a brand new iPhone! Click here to claim your prize now!
ham	Hey, are we still on for dinner tonight?
ham	Can you send me the assignment notes?
spam	Congratulations! You've been selected for a $1000 Walmart gift card.So Congratulations.
ham	Meeting is rescheduled to 3 PM. Please be on time.
spam	You've won a free vacation to the Bahamas! Call now to confirm.
ham	Don't forget to submit your project by Friday.
spam	Earn money from home. No experience required. Sign up today!
ham	I'll be there in 10 minutes. Sorry for the delay.
spam	Get cheap meds online without a prescription. Limited offer!.Limited
